Entity_ID,mean,var,std,len
1jhw_A,20.37730061349693,2727.4926135722085,52.225401995314584,326
1jhw_2,20.37730061349693,2727.4926135722085,52.225401995314584,326
1qsl_A,22.477537437603992,2776.61555200567,52.693600674139454,601
2fby_1,26.336734693877553,3030.4376301541024,55.049410806602666,196
1wc4_A,24.68,2654.9775999999997,51.52647474842423,200
1wc4_2,25.46938775510204,2672.6470220741357,51.697650063364925,196
2fby_A,26.336734693877553,3030.4376301541024,55.049410806602666,196
1qsl_1,22.477537437603992,2776.61555200567,52.693600674139454,601
2p1x_A,20.452830188679247,3029.3421146315413,55.039459614276204,106
4lp1_3,19.66346153846154,2990.838664940828,54.68856064060223,104
4lp1_1,19.66346153846154,2990.838664940828,54.68856064060223,104
4lp1_B,19.66346153846154,2990.838664940828,54.68856064060223,104
4lp1_A,19.66346153846154,2990.838664940828,54.68856064060223,104
4lp1_10,19.66346153846154,2990.838664940828,54.68856064060223,104
4lp1_6,19.66346153846154,2990.838664940828,54.68856064060223,104
4bar_A,18.768115942028984,2300.970384373031,47.96843112269809,207
4bap_A,21.124031007751938,2366.6357790998136,48.64808093953772,129
4bad_A,21.124031007751938,2366.6357790998136,48.64808093953772,129
3tor_C,16.839002267573697,2516.434397190471,50.16407476661431,441
3tor_11,16.839002267573697,2516.434397190471,50.16407476661431,441
3tor_18,16.839002267573697,2516.434397190471,50.16407476661431,441
3tor_9,16.839002267573697,2516.434397190471,50.16407476661431,441
3tor_B,16.839002267573697,2516.434397190471,50.16407476661431,441
3tf6_C,22.023121387283236,2888.6815463263056,53.7464561280677,173
3py9_A,11.342857142857143,2557.561020408163,50.57233453587211,280
3ojo_A,23.114914425427873,2931.4220024987894,54.14260801345637,409
3mvo_A,20.983870967741936,2665.7215140478665,51.630625737520035,496
3lgr_A,20.55026455026455,2177.4855687130816,46.66353575023095,189
2yat_A,32.08370044052864,2932.640571328766,54.15386017015561,227
2pe7_A,18.63768115942029,2316.6754883427852,48.13185523479004,207
2pc2_A,21.124031007751938,2366.6357790998136,48.64808093953772,129
